question,answer,intent
The most sensitive index for renal tubular function is :,Specific gravity of urine,general_faq
Higher auditory centre determines:,Sound frequency,general_faq
Which of the following is a metastasis suppressor gene in relation to prostate cancer,KAI - 1,general_faq
Which of the following type of necrosis is most commonly associated with ischemic injury:,Coagulative necrosis,general_faq
Frequency of renal involvement in HSP?,<10%,general_faq
Iron absorption is inhibited by all except:,Vitamin C,general_faq
Millennium Development goals are to be achieved by: March 2012,2005,general_faq
Pain-sensitive intracranial structure is:,Piamater,symptoms_diagnosis
"True regarding multiple myeloma is all, EXCEPT-",Bone pain,general_faq
Why fetal cells continue to divide but terminally differentiated adult cells do not divide -,There are many cyclin inhibitors which prevent cell to enter into S phase in adult,general_faq
Babesiosis is transmitted by -,Tick,general_faq
Strength of association is given by,p-value,general_faq
Pit viper beongs to -,Viperidae,general_faq
Physiological uncoupler is ?,Thyroxine,general_faq
Hobnail pattern is seen in which type of RCC,Clear cell,general_faq
The first step when doing a pneumonectomy for cancer of the bronchus is to:,Ligate the pulmonary vein,general_faq
Which one of the following activities cannot be formed by a 7 month old infant –,Pivot,general_faq
Dilutional hyponatremia is seen in ?,Addison's disease,general_faq
"Among various glands, salivary gland secretion is unique in that, its secretions are controlled by",Hormones,general_faq
The most impoant indication for surgical repair of a Bicornuate Uterus is -,Infeility,general_faq
Concentration of agar used for solid agar to Inhibit Proteus swarming,1-2%,general_faq
Magic syndrome is seen in:,Behcet disease,general_faq
Most common site of perforation of tympanic membrane in acute suppurative otitis media is:,Anterior superior quadrant,general_faq
Malignant cold nodule in thyroid diagnostic on USG by all EXCEPT,No cystic lesion,general_faq
Excessive buying is termed as: DNB 08,Kleptomania,general_faq
"A community has a population of 10,000 and a bih rate of 36 per 1000. 6 maternal deaths were repoed in the current year. The Maternal Moality Rate (MMR) is:",14.5,nutrition_advice
Which of the following are not included under 10 chemicals of major public health concern by WHO:,Arsenic,general_faq
Which of the following enzyme leads to release of free glucose from glycogen during glycogenolysis in muscle?,Glycogen phosphorylase,general_faq
Banding technique most commonly employed for cytogenetic analysis,G banding,general_faq
A young male patient presents with complete rectal prolapse. The surgery of choice is,Abdominal rectopexy,treatment_procedure
Serous Demilunes are present in large number in which gland,Parotid,general_faq
The fascia of Denonvilliers -,Membranous layer of fascia of the thigh,general_faq
Tripod fracture is the name given for,Zygomatic fracture,general_faq
Mark the false statement among given options regarding malaria species :,P. vivax infects RBC's < 14 days,general_faq
Which of the following ranges of haemoglobin O2 saturation from systemic venous to systemic aerial blood represents a normal resting condition?,25 to 75%,general_faq
Platelets in stored blood do not live after,24 hours,general_faq
The most common type of congenital atresia is,"Proximal blind end, distal end communicating with trachea",general_faq
"According to Spetzler-Main criteria, how much score is given for a 5 cm nidus with AV malformation?",3,general_faq
A 58-year-old woman presents with an irregular nodularity that has developed in her right breast over the past 3 months. Mammography demonstrates irregular densities in both breasts. A needle biopsy of one breast lesion is shown. An excisional biopsy of the contralateral breast shows similar histology. Which of the following is the most likely pathologic diagnosis?,Colloid carcinoma,general_faq
"20-year-old female present with features of anemia. Blood tests: Hb-5g/dL, MCV - 52 fL, MCH-22 pg, PCV - 15%. Diagnosis?",Phenytoin toxicity,nutrition_advice
Which of the following is not a cause of hypermetropia: September 2009,Sho axial length of the eyeball,general_faq
Nasopharyngeal carcinoma affects which age group,Children,general_faq
Antiendomysial antibody is used in screening of ?,Myasthenia gravis,general_faq
Prolonged latent phase is seen in :,Placenta prae,general_faq
Which of the following does not cause Polyuria?,Interstitial nephritis,general_faq
"A 33 year old woman has experienced episodes of fatigue, pleural effusion, pericardial effusion and carpal tunnel syndrome and macrocytic anemia. Best test for diagnosis shall be -",Anti-beta 2 phospholipid antibodies,general_faq
"Ranula is a: March 2013 (a, d, e)",Retention cyst,general_faq
Prophylaxis against spontaneous bacterial peritonitis ( SBP) in case of cirrhosis with ascites is indicated in:,Patients with high protein ascites,general_faq
Keoppe nodules are present on -,Cornea,general_faq
Treatment of acute lymphangitis requires:,Antibiotic and rest,nutrition_advice
Which of the following findings is suggestive that ovulation has taken place?,Pseudostratification in endometrium,general_faq
A 70 kg patient needs to be staed on nitroglycerine (NTG) infusion. A 5 ml ampoule contains 5 mg/ml NTG. One ampoule is added to normal saline and to make a total of 500 ml solution. Calculate the rate of infusion if NTG is required at a rate of 10 mcg/min. (1 micro drip = 60 drops/ml ),12 drops/min,general_faq
A 12-year-old male is admitted to the hospital with profuse rectal bleeding but appears to be free of any associated pain. Which of the following is the most common cause of severe rectal bleeding in the pediatric age group?,Internal hemorrhoids,symptoms_diagnosis
Life span of house fly is?,5 days,general_faq
Fomepizole is a selective antidote for poisoning with:,MAO inhibitors,general_faq
All of the following are surgical options for morbid obesity except -,Adjustable gastric banding,general_faq
Prominent corneal nerves are seen in all except -,Ectodermal dysplasia,general_faq
The Sequence of development of pubey in girls is :,"Thelarche, Pubarche, Menarche",general_faq
The most effective treatment of pruritus in uremia is :,Ultraviolet light,nutrition_advice
Millenium development goals formulated in 2000 were to be achieved by -,2005,general_faq
Initial amino acid in prokaryotic protein synthesis ?,Arginine,general_faq
Inclusion conjunctivitis is caused by-,Trachoma,general_faq
Surgical staging of ovarian Ca all done except;,Peritoneal washing,general_faq
"A young girl presents with primary amenorrhoea, grade V thelarche, grade II pubarche and no axillary hair. The most probable diagnosis is",Testicular feminization,general_faq
Which of the following is true about the main respiratory control neurons?,image_question,general_faq
Local anaesthetic injected directly into the tissue -,Infiltration anaesthesia,general_faq
Diagnosis of ABO incompatiability can be from all of the following except?,Sweat,general_faq
Poor prognostic factor in chizophrenia is:,Acute onset,general_faq
Dispropoionately increased blood urea levels compared to serum creatinine (urea creatinine ratio 20:1) can be seen in the following except -,Prerenal failure,nutrition_advice
Vibrio parahemolyticus is seen in which of the following if undercooked?,Crab,general_faq
"A patient on t/t for psychiatric disorder takes overdose of a drug, develops bradycardia, hypotension, decreased sweating and salivation. The likely drug is",Amitryptilline,medicine_info
Which of the following is not a cause of glomerular proteinuria?,Diabetes Mellitus,general_faq
Cholesteatoma commonly associated with:,Atticoantral CSOM,nutrition_advice
Following are the clinical features of Leber optic neuropathy except,Seen in the 2nd or 3rd decade of life,nutrition_advice
Most common physiologic cause of hypoxemia is-,Hypoventilation,general_faq
Immediate stiffnes postmoem occurs in :,Cadaveric rigidity,general_faq
The scoring given in periodontal index for gingivitis is,1,general_faq
Condition required for autoclave is?,121°C temperature for 20 min,general_faq
Ohngren's line extends from-,Lateral canthus of the eye to angle of mandible,general_faq
All of the following can be used to treat alcohol dependence except,Naltrexone,nutrition_advice
Which of the following is considered the MOST impoant risk factor for necrotizing enterocolitis?,Perinatal asphyxia,general_faq
Most common malignant tumor of kidney in children is:,Renal cell carcinoma,general_faq
The physiological change occurs in a cardiac muscle cell when there is plateau phase of action potential is:,Influx of Na,general_faq
